ngiemboon,en,,,,
"N ne zsé pú’u tá’, n g??a nà ts?? mej?’ ts??? y??n ?wà’ne, ?gyá ngie n ge ny?te g??n ts?? menò, lél?g ?kímte g?i menò mie mé la zí’i g?í. Mè? n g??n pú’u, ?c?a ná pá’ e Ssé la cÿó gem y???n,","Nevertheless, brethren, I have written the more boldly unto you in some sort, as putting you in mind, because of the grace that is given to me of God, # https://www.bible.com/fr/bible/1/ROM.15.KJV #15",,,,
"?d?g? w???n ?gÿo nyì? g?ie à ge ne fa’a fà’ Y?sô Kristo á nù? p??a pie é té pà Yuda w??. À la ts??’? w???n légw?? gie n ge c??’? ts?ii p?? nk?? mbò?o mbwo p??b, Z?ìge Nd?al??a l?g? w??b ?gÿo p??a Ssé, mè? n náa w??b mbwo Ssé, p?? gw?? pá’ shúm pw??’ sie é po? Ssé.","that I should be the minister of Jesus Christ to the Gentiles, ministering the gospel of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Ghost. # https://www.bible.com/fr/bible/1/ROM.15.KJV #16",,,,
"Mè? n d?g pá’ n da nn?? ná Y?sô Kristo, ?ku’u lél?g? fa’a Ssé gie mè? n ne fa’a ?ka’te.",I have therefore whereof I may glory through Jesus Christ in those things which pertain to God. # https://www.bible.com/fr/bible/1/ROM.15.KJV #17,,,,
"Á nue n d??n ?g??n k?? w?? gie n d? gÿo ná fa’a Ssé, mbà á gw?? p?? gie Kristo z? la l?g? w???n ?gÿo. Pú’u, légÿo p??a pie é té pà Yuda w?? p?? jú’ ncwò Ssé, á c?a nà shwó?è gie mè? n g??n mb?? ná mefà’ mie mè? fa’a,","For I will not dare to speak of any of those things which Christ hath not wrought by me, to make the Gentiles obedient, by word and deed, # https://www.bible.com/fr/bible/1/ROM.15.KJV #18",,,,
"?c?a nà meli?é menò lâ menò mm??n mm??n, ?gí?e ?c?a nà met?? Z?ìge Ssé. Y??n ee ntí gie n da l?g ?ny?te ?ts?i nk?? mbò?o Kristo j?’ ntsèm, léfó Yerósalem ?g?a ?kúu Ilirie.","through mighty signs and wonders, by the power of the Spirit of God; so that from Jerusalem, and round about unto Illyricum, I have fully preached the gospel of Christ. # https://www.bible.com/fr/bible/1/ROM.15.KJV #19",,,,
"Tá’, n da kag t?? léké ?ts?i Nk?? Mbò?o p?? j?’ gie mé z???n kaa Kristo wó kíme, ?b??g? lékw?? ndá nà cÿ? ndá gie ts?? nyì? ndy??’? ka nu?e.","Yea, so have I strived to preach the gospel, not where Christ was named, lest I should build upon another man's foundation: # https://www.bible.com/fr/bible/1/ROM.15.KJV #20",,,,
"Ep??a pie p?? la tè jú’u ts?? nò ná yé w??, ge gÿo jú’.",And they that have not heard shall understand. # https://www.bible.com/fr/bible/1/ROM.15.KJV #21,,,,
Legw? ?gi? ?ts?i Nk?? Mbò?o áa mmó gie á la vele w???n meng??a tà ?gy???n létó ?gyá g?í.,For which cause also I have been much hindered from coming to you. # https://www.bible.com/fr/bible/1/ROM.15.KJV #22,,,,
"Tá á ké ?gw?? nà f??’??n, mbà mè? n kéen ?maga fà’ y???n ná m??n mepàga ngwò?, ée f??’??n ?gw?? mengù’ tà ?gy???n pá’ mè? n ne ?ts???n létó ?gyá g?í.","But now having no more place in these parts, and having a great desire these many years to come unto you; # https://www.bible.com/fr/bible/1/ROM.15.KJV #23",,,,
"Mè? n ké ne ?gyá f??’??n ngie mè? n ge gw?? g?a Spana, étóo lá’ pi. Mè? n z??n ne ?ts???n légw?? c?a, ?gyá g?í, pi k?éte w???n lég?a wó. Á ge gÿo w?? lêk?? w?? pege gÿo ?bú ?ná’a ?né?e méj?’.","whensoever I take my journey into Spain, I will come to you: for I trust to see you in my journey, and to be brought on my way thitherward by you, if first I be somewhat filled with yourcompany. # https://www.bible.com/fr/bible/1/ROM.15.KJV #24",,,,
Tá’ áa nà f??’??n mè? n ne ?gee nê Yerósalem léná nkáb mbwo p??a Ssé pie ée ts??? y?? tÿ?so?.,But now I go unto Jerusalem to minister unto the saints. # https://www.bible.com/fr/bible/1/ROM.15.KJV #25,,,,
"Á nue p??a Kristo pie ée Makedonia mb?? pe Akay ka gy? ngie p?? ge ma’ nkáb l?g k?éte p??a Kristo pie ée Yerósalem, ?gw?? mepó?.",For it hath pleased them of Macedonia and Achaia to make a certain contribution for the poor saints which are at Jerusalem. # https://www.bible.com/fr/bible/1/ROM.15.KJV #26,,,,
"P?? z? ka p?lé ?gyá pú’u tá’, é z??n ?gw?? p?? nj? gie p?? g?iin léto?o mbwo p??b. Á nue á l??n ?gw?? gie p??a pie é té pà Yuda w?? kéen ?g?iin y??b mmó nà shúm sie Ssé la pu’ ssé ?ná p?? né pà Yuda, mbà p?? p??a g?iin pá’ p?? ge g?a ná shúm sie ée s??b, é pi ts?? é ná mé l?g ?k?éte pà Yuda.","It hath pleased them verily; and their debtors they are. For if the Gentiles have been made partakers of their spiritual things, their duty is also to minister unto them in carnal things. # https://www.bible.com/fr/bible/1/ROM.15.KJV #27",,,,
"Mè? n ge gÿo gw?? tà g?a c??me y??n nkáb gie mé ka ma’ l??n, é g?a Spana, é gw?? g?a c?a yé lá’ pi.","When therefore I have performed this, and have sealed to them this fruit, I will come by you into Spain. # https://www.bible.com/fr/bible/1/ROM.15.KJV #28",,,,
"M bi? ne ?zsé ngie n ge gÿo tó, e Ssé c?a ná mè?, ?né? mb??lè ná pi t?’.","And I am sure that, when I come unto you, I shall come in the fulness of the blessing of the gospel of Christ. # https://www.bible.com/fr/bible/1/ROM.15.KJV #29",,,,
"Mef?? p???n, á c?a ná C??ap??a wege Y?sô Kristo mb?? ná pá’ a Z?ìge Nd?al??a ne ?gÿo pege g?iin nkwò?e tsets??? pege la, mè? s?í?te g?i ngie pi l?g? lés?í?te Ssé ?k?éte w???n. Pi s?í?te Ssé nà twó y???n, ?c??’? lés?í?te, és?í?te lê ngwò? nt??m g?i ntsèm,","Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me inyourprayers to God for me; # https://www.bible.com/fr/bible/1/ROM.15.KJV #30",,,,
"légw?? gie n tè gwe ná mbwo p??a J?idea pie p?? t? ?zába nt??m ná Kristo w?? w??, ?gí? s?í?te Ssé ngie à gÿo p??a Kristo pie ée Yerósalem l?g nt??m mbò?o ?k?é mmó gie ? d?g? ?gee wó lék?éte w??b.",that I may be delivered from them that do not believe in Judæa, and that my service whichI havefor Jerusalem may be accepted of the saints, # https://www.bible.com/fr/bible/1/ROM.15.KJV #31,,
"Pú’u, n gw?? tóo mb??a pi, nt??m w???n ne ?kága, e Ssé z?í?, mbà n ge nè?e tsets??? pi, é z???te.","that I may come unto you with joy by the will of God, and may with you be refreshed. # https://www.bible.com/fr/bible/1/ROM.15.KJV #32",,,,
Á po? ngie Ssé g?ie à náa s?éte à ne ?gw?? né pi metsèm.*Amen.,Now the God of peacebewith you all. Amen. # https://www.bible.com/fr/bible/1/ROM.15.KJV #33,,,,
"N c?mé f?? wege we manzw? g?ie mé tó?o yé lé Febée á mbwo pi, à fa’a mefà’ ts??? ndà cú’tè p??a Kristo gie aa tÿ?so?o Senkeré.","I commend unto you Phebe our sister, which is a servant of the church which is at Cenchrea: # https://www.bible.com/fr/bible/1/ROM.16.KJV #1",,,,
"Pi l?g lezí? C??ap??a ?kúe yé nà ntí gie p??a Kristo g?iin lékúe nyì? pú’u. Pi tyé pá’ y?? nò w?? l??n ?c?a yé, tà á ga’te mbwo pi, pi k?éte yé m?. Kwà’ yé léen ?k?éte p??a t?’, ?gí? ?k?éte w???n y???n.","that ye receive her in the Lord, as becometh saints, and that ye assist her in whatsoever business she hath need of you: for she hath been a succourer of many, and of myself also. # https://www.bible.com/fr/bible/1/ROM.16.KJV #2",,,,
"Pi tsy?’te Piriska p?? Akilas ?ná né mè?, ée p??a pie pega p?? p? fa’a fà’a Y?sô Kristo.",Greet Priscilla and Aquila my helpers in Christ Jesus: # https://www.bible.com/fr/bible/1/ROM.16.KJV #3,,,,
Á ka c??’? méj?’ p?? kwé nà twó y??n. Mè? z? tè ndà’ nyì? g?ie y??n nò ?né?e ?bo?o yé w??. Á gí?e ?bo? mb?? mecú’tè p??a Kristo mie ée ts??? melá’ mie é té me pà Yuda w??.,"who have for my life laid down their own necks: unto whom not only I give thanks, but also all the churches of the Gentiles. # https://www.bible.com/fr/bible/1/ROM.16.KJV #4",,,,
"Pi tsy?’te Epenete, á f?? w???n we nt?? nz?ì?. Àa ndù? mvfò nyì? lézáb nt??m ná Kristo á ts??? pàga ngwò? Azia.","Likewisegreetthe church that is in their house. Salute my wellbeloved Epænetus, who is the firstfruits of Achaia unto Christ. # https://www.bible.com/fr/bible/1/ROM.16.KJV #5",,,,
Pi tsy?’te Malî?. À ka té?e zì’i t?’ ?tí g?í.,"Greet Mary, who bestowed much labour on us. # https://www.bible.com/fr/bible/1/ROM.16.KJV #6",,,,
"Pi tsy?’te Andelonikus p?? Zunias. Pega p?? p? ?gw?? pà Yuda, mbà pega p?? ka p? ?gw?? ndá ts??. P?? ée tsets??? megà? ntúm mé kwo?o nò y??b t?’. P?? la z??n ?v?g ?gw?? p??a Kristo tá mè? n gÿo ?gw?? y???n.","Salute Andronicus and Junia, my kinsmen, and my fellowprisoners, who are of note among the apostles, who also were in Christ before me. # https://www.bible.com/fr/bible/1/ROM.16.KJV #7",,,,
Mè? n g?? ?tsy?’te Ampliatus. Àa f?? w???n we nt?? nz?ì? nzèm C??ap??a.,Greet Amplias my beloved in the Lord. # https://www.bible.com/fr/bible/1/ROM.16.KJV #8,,,,
"Pi tsy?’te Wirbi?, pega p?? z? p? fa’a fà’a Kristo, ?tsy?’te mb?? f?? w???n we nt?? nz?ì? Stakis.","Salute Urbane, our helper in Christ, and Stachys my beloved. # https://www.bible.com/fr/bible/1/ROM.16.KJV #9",,,,
"Pi tsy?’te Apelès, à ka ny?? ngie àa kwà’ nyì? Kristo. Pi tsy?’te p??a ndá Aristobul.",Salute Apelles approved in Christ. Salute them which are of Aristobulus'household. # https://www.bible.com/fr/bible/1/ROM.16.KJV #10,,,,
Pi tsy?’te*Herôdine. Àa nyì? Yuda pá’ mè?. Pi tsy?’te p??a ndá Narsise pie é la nn?? ná C??ap??a.,"Salute Herodion my kinsman. Greet them that be of thehouseholdof Narcissus, which are in the Lord. # https://www.bible.com/fr/bible/1/ROM.16.KJV #11",,,,
"Pi tsy?’te Tirifene p?? f?? we Tirifose, ée pànzw? pie p?? fa’a fà’a C??ap??a t?’. Pi tsy?’te P?rsid. Àa nt?? nz?ì? f?? w???n we manzw?. À ka fa’a yé fà’a C??ap??a t?’.","Salute Tryphena and Tryphosa, who labour in the Lord. Salute the beloved Persis, which laboured much in the Lord. # https://www.bible.com/fr/bible/1/ROM.16.KJV #12",,,,
"Mè? n tsy?’té R?if?is. Àa nyì? g?ie C??ap??a ka ts?’?? yé á pi? ?né?e twó nà fà’ yé t?’. Pi gí? ?tsy?’te mb?? má we, má we ?w?? g?? ?gw?? má w???n y???n.","Salute Rufus chosen in the Lord, and his mother and mine. # https://www.bible.com/fr/bible/1/ROM.16.KJV #13",,,,
"Pi tsy?’te Asinkelite, lê Flégon, lê Hermes, lê Patfobas, lê Hermas, mb?? mef?? mef?? pie pâ p?? gw??.","Salute Asyncritus, Phlegon, Hermas, Patrobas, Hermes, and the brethren which are with them. # https://www.bible.com/fr/bible/1/ROM.16.KJV #14",,,,
"Pi tsy?’te Filolog, lê Zulius, lê Neré tà mb?? f?? we wé manzw?, ?gÿo Olimpas, tà mb?? p??a Kristo metsèm pie pâ p?? gw??.","Salute Philologus, and Julia, Nereus, and his sister, and Olympas, and all the saints which are with them. # https://www.bible.com/fr/bible/1/ROM.16.KJV #15",,,,
"Pi tsy?’te menn?? mí, ?c??’? létsy?’te, ?tá?te menn?? mí nà ntí ye p??a Ssé. Mecú’tè p??a Kristo metsèm ná w??n shÿó p? ?tsy?’te g?í.",Salute one another with an holy kiss. The churches of Christ salute you. # https://www.bible.com/fr/bible/1/ROM.16.KJV #16,,,,
"Mef?? p???n, mè? n ge g??n né pi ngie pi p???n p??a pie é ma’a fàgte tsets??? pi, ?d?g? pá’ p?? l?’? mmó gie mé la zí’i g?i ná Kristo, ?gÿo p??a f?a mánzsè. Pi kÿo p?? p??a.","Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them. # https://www.bible.com/fr/bible/1/ROM.16.KJV #17",,,,
"Á nue y?? ntí p??a t? fa’a fà’a C??ap??a wege Y?sô Kristo w??, p?? ts???n p?? lepfòm s??b. P?? l?g? shwó?è mb??lè p?lé mb?? shwó?è l?te, éf?te p??a pie legyè s??b v??g v??g.","For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple. # https://www.bible.com/fr/bible/1/ROM.16.KJV #18",,,,
"Á g?a ná pi, p??a metsèm ne ?zsé ngie pi jú’ ncwò C??ap??a. Tà nt??m w???n ?né?e nkág kág nà mmó gie pi ne ?gÿo. Tá’ mè? n ne ?ts???n ngie pi g?iin zs? nò mbò?o lél?g ?gÿo nò mbò?o, ?bi? ?né?e ?gw?? p??a pie p?? l?g? lékÿo nò tepò? ?gw?? pàtè*l??’.","For your obedience is come abroad unto allmen. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil. # https://www.bible.com/fr/bible/1/ROM.16.KJV #19",,,,
"Pi l??n ?gÿo pá’??n, mbà e Ssé g?ie à náa s?éte, ge ma’a Sátà ssé, pi l?g mekwò ?né?te yé. C??ap??a wege Y?sô Kristo ne ?gw?? né pi.",The grace of our Lord Jesus Christbewith you. Amen. # https://www.bible.com/fr/bible/1/ROM.16.KJV #20,,,,
"Timoté g?ie peg yé fa’a, à tsy?’té g?í. Lusius mb?? Jaso? mb?? Sosipat??, pie pega p?? p? ?gw?? pà Yuda p?? tsy?’té g?i y??b.","Timotheus my workfellow, and Lucius, and Jason, and Sosipater, my kinsmen, salute you. # https://www.bible.com/fr/bible/1/ROM.16.KJV #21",,,,
"Mè? Tertilus g?ie mé ts?? ngie mè? n ?we’e y??n ?wà’ne, n d??g pá’ n da nn?? ná C??ap??a g?ie à léen ?temte wégè, ?tsy?’te g?i y???n.","I Tertius, who wrotethisepistle, salute you in the Lord. # https://www.bible.com/fr/bible/1/ROM.16.KJV #22",,,,
"Ga?is g?ie à kúe w???n, à tsy?’té g?í, àcú’tè p??a Kristo áa ndá yé. Eraste, g?ie aa tÿ?so? ?gw?? ndè’e nkáb, mb?? f?? wege Kart?is p?? p? ?tsy?’te g?í. [","Gaius mine host, and of the whole church, saluteth you. Erastus the chamberlain of the city saluteth you, and Quartus a brother. # https://www.bible.com/fr/bible/1/ROM.16.KJV #23",,,,
C??ap??a wege Y?sô Kristo ne ?gw?? né pi metsèm.*Amen],The grace of our Lord Jesus Christbewith you all. Amen. # https://www.bible.com/fr/bible/1/ROM.16.KJV #24,,,,
"Pege gu’te Ssé. Yé z? ku’u légÿo pi t?te t?te nzèm yé. Nk?? Mbò?o g?ie mè? n ts?ii é g??n nò ná Y?sô Kristo, é ge ne fa’a y?? fà’. E Ssé l?g? w??n Nk?? Mbò?o, ?ny?? mmó gie à la zába ná Kristo, mbà á ka z???n ?gw?? p?? lely?en tà fó taa mángù’.","Now to him that is of power to stablish you according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret since the world began, # https://www.bible.com/fr/bible/1/ROM.16.KJV #25",,,,
"Á pi? ?gw?? f??’??n, mbà á kéen ?k??? mángy??. Pá’ Ssé la ts?i la, mé ée f??’??n ne fóo ná mmó gie pà*nts?ì nk?? Ssé la ?we’e, ?ne sá’a légw?? gie p??a pie é té pà Yuda w?? ge zsé Kristo, é záb nt??m ná yé, é jú’ ncwò wé.","but now is made manifest, and by the scriptures of the prophets, according to the commandment of the everlasting God, made known to all nations for the obedience of faith: # https://www.bible.com/fr/bible/1/ROM.16.KJV #26",,,,
E Ssé z? zsé nó gílé yé. Pege c?a ná Y?sô Kristo ?gu’te yé nà ngù’ nk???n nê nk???n.*Amen.,"Written to the Romans from Corinthus, and sent by Phebe servant of the church at Cenchrea. # https://www.bible.com/fr/bible/1/ROM.16.KJV #27",,,,
Y??n ?wà’ne fóo mbwo mè? P?l ngà? ntúm Y?sô Kristo. E Ssé yé má?w?? z? la ts??’? w???n ná we lekwò? ?d?g ?gÿo w??. F?? wege Sost?ne aa yé ssé.,"Paul, calledto bean apostle of Jesus Christ through the will of God, and Sosthenesourbrother, # https://www.bible.com/fr/bible/1/1CO.1.KJV #1",,,,
"Mè? n ?we’e ?náa mbwo cú’tè p??a Ssé á tÿ?so?o Korento, á w??b pie e Ssé la laa w??b nà Y?sô Kristo ?d?g? w??b ?gÿo p??a pé, ?z??te mbwo p??b ngie p?? gw?? kwà’ p??a pé. N náa y??n ?wà’ne mb?? mbwo mânyì? ntsèm g?ie aa nz?? nz?? w??, ?tó?o lezí? C??ap??a wege Y?sô Kristo. À l?g? pú’u, ?gí?e ?gw?? C??ap??a w??b y??b.","unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, calledto besaints, with all that in every place call upon the name of Jesus Christ our Lord, both their's and our's: # https://www.bible.com/fr/bible/1/1CO.1.KJV #2",,,,
Tá wege Ssé mb?? C??ap??a Y?sô Kristo ne ?gw?? né pi ?bi? ne ?né?e s?étè nt??m pi.,"gracebeunto you, and peace, from God our Father, andfromthe Lord Jesus Christ. # https://www.bible.com/fr/bible/1/1CO.1.KJV #3",,,,
"Mè? ne ?náa nd?g mbwo Ssé f??’ ntsèm ?tí g?í, á nà menò mbò?o mie à ka l?g ?cÿó gem gí, ?c?a nà pá’ pia Y?sô Kristo kéen ?temte.","I thank my God always on your behalf, for the grace of God which is given you by Jesus Christ; # https://www.bible.com/fr/bible/1/1CO.1.KJV #4",,,,
"Pá’ pia kristo kéen ?temte la, e Ssé ka f? pú’u, ?náa fù’ ntsèm né pi. À ka gÿo pi ku’u léshwó?ó nò yé, ?gí? ?gÿo pi ku’u lézsé nò nén??.","that in every thing ye are enriched by him, in all utterance, andinall knowledge; # https://www.bible.com/fr/bible/1/1CO.1.KJV #5",,,,
"Á fó ná pá’ mé ka shwó?ó g?i nò gie mé zsé ná Kristo, pi z?í? lê nt??m g?i ntsèm,",even as the testimony of Christ was confirmed in you: # https://www.bible.com/fr/bible/1/1CO.1.KJV #6,,,,
"tà áa f??’??n ?gw?? mbwo pi pie pi ne ?z?í’te f??’ gie C??ap??a wege Y?sô Kristo ge k??, ats?? fù’ gie á fóo mbwo Ssé, tà pi nyé ne ?mo?e á té wó w??.",so that ye come behind in no gift, waiting for the coming of our Lord Jesus Christ: # https://www.bible.com/fr/bible/1/1CO.1.KJV #7,,,
"Yé Y?sô Kristo ge gÿo pi t?te t?te tà ndá’ ?c??me, à lá’a ly?’ gie yé C??ap??a wege, ge lá’ gí?e tó mé le ne ?da’a g?i nà ts?? mmó w??.","who shall also confirm you unto the end,that ye may beblameless in the day of our Lord Jesus Christ. # https://www.bible.com/fr/bible/1/1CO.1.KJV #8",,,,
"Yé Ssé g?ie à la ts??’? g?i pá’ pi ge ?né?e f??’ ntsèm é la nn?? nà Mí? we Y?sô Kristo g?ie aa C??ap??a wege, aa nt? ?ka’a mmó gie à ge gÿo ?bi?e ?kúbe w??.","Godisfaithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord. # https://www.bible.com/fr/bible/1/1CO.1.KJV #9",,,,
"Mef?? mef??, n d??g lezí? C??ap??a wege Y?sô Kristo ?g??n né pi ngie: Pi gw?? tà’ ncwò, ?gie tà fàgte gw?? tsets??? pi, ?gie pi g?iin tà’ ntí lesa?á nò, ?g?iin tà’ nkwa?á.","Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, andthatthere be no divisions among you; butthatye be perfectly joined together in the same mind and in the same judgment. # https://www.bible.com/fr/bible/1/1CO.1.KJV #10",,,,
"Mef?? p???n, mè? n z??n ?g??n pá’??n nue ep??a nà ng??? Keloé ka shwó?ó w???n nò ná pi, ngie fàgte kéen ?kúu tsets??? pi.","For it hath been declared unto me of you, my brethren, by themwhich are of the houseof Chloe, that there are contentions among you. # https://www.bible.com/fr/bible/1/1CO.1.KJV #11",,,,
"N ka fó m? ?jú’ ngie aw??w??? tsets??? pi ?c??’? shwó?ó p?? nà ye ntí. Ts?? nyì? gwaa ne g??n ngie aa nyì? we P?l, wets?? ne ?g??n ngie aa nyì? we Apolos. Wets?? gw?? ne g??n ngie aa nyì? Kéfas, wets?? ne ?g??n ngie aa nyì? we Kristo.","Now this I say, that every one of you saith, I am of Paul; and I of Apollos; and I of Cephas; and I of Christ. # https://www.bible.com/fr/bible/1/1CO.1.KJV #12",,,,
"Kristo aa pá’??n, mbà à kéen ?gabte mbùm ye lá? Mé la kim p?? P?l nà tÿ? nk? ?tí g?i lá? Kà pi la k?é ntse p?? nà lezí? P?l?",Is Christ divided? was Paul crucified for you? or were ye baptized in the name of Paul? # https://www.bible.com/fr/bible/1/1CO.1.KJV #13,,,,
"Mè? ne síe Ssé á nue é té ndà’ Ga?is p?? Krispus w??, mbà ts?? nyì? g?i la tè k?é ntse mbwo mè? w??.","I thank God that I baptized none of you, but Crispus and Gaius; # https://www.bible.com/fr/bible/1/1CO.1.KJV #14",,,,
"Pú’u lá, ats?? nyì? g?ie ngw?? á g??n ngie pi la k?é ntse ?d?g? pú’u, ?c??’? p??a p???n à tè wó w??.",lest any should say that I had baptized in mine own name. # https://www.bible.com/fr/bible/1/1CO.1.KJV #15,,,,
"Oon, n dege k??, atsì?e ndá Stefanas la gí?e ?k?é ntse mbwo mè?, é té ndà’ pú’u w??, mbà mè? n kaa gí?e ?zsé ts?? nyì? tsets??? pi g?ie à la k?é ntse mbwo mè? w??.","And I baptized also the household of Stephanas: besides, I know not whether I baptized any other. # https://www.bible.com/fr/bible/1/1CO.1.KJV #16",,,,
"Kristo la z??n tè túmo w???n ngie n g?a ?gÿo p??a k?é ntse mbwo mè? w??. A là túmo w???n p?? ngie n g?a ?ts?i nk?? mbò?o. Tá ?ké lel?g p?? zse nò nyì? méso? ?ts?i w??, ?b??g? légÿo met?? mie é fóo nà pá’ Kristo la kwé nà tÿ? nk? é mag.","For Christ sent me not to baptize, but to preach the gospel: not with wisdom of words, lest the cross of Christ should be made of none effect. # https://www.bible.com/fr/bible/1/1CO.1.KJV #17",,,,
"Mé z???n ?g??n nò nà legwé Kristo nà tÿ? nk? á gw?? mbwo p??a pie p?? ée nà mánzsè lepyé ?gw?? p?? nò ngà? lejÿ??g, tá ?ké ?g?a nà pege pie pege ee nà mánzsè lets???, y?? nò gw?? mbwó pege ?da’te p?? met?? Ssé.",For the preaching of the cross is to them that perish foolishness, but unto us which are saved it is the power of God. # https://www.bible.com/fr/bible/1/1CO.1.KJV #18,,,
"E Ssé la z??n ?g??n ts??? ?wà’ne yé ngie: Mè? n ge gÿo tágte zse nò pazsé nò, é pyág legyè p??a pie legyè s??b ée wó.",And will bring to nothing the understanding of the prudent. # https://www.bible.com/fr/bible/1/1CO.1.KJV #19,,,,
Anzse nò l?g? pá’??n ?gí?e ?gw?? nz??? Anzse ?wà’ne Ssé gw?? nz??? Anzo?o nò ná y??n kème njÿó gw?? yé nz??? E Ssé léen tè gÿo azsé nò ts??? njÿó c??’ menò p??a w?? le?,Whereisthe wise? whereisthe scribe? whereisthe disputer of this world? hath not God made foolish the wisdom of this world? # https://www.bible.com/fr/bible/1/1CO.1.KJV #20,,,,
"Áa pú’u, pá’??n á nue p??a meso? la tè l?g? y??b zse nò, ?zsé Ssé w??, tà mb?? pá’ e Ssé ne sh??ash??a ?ny?? zsé nò yé. Áa mmó gie á la gÿo e Ssé záb ngie à ge gÿo p??a pie p?? z?b nt??m ná ye ts???, éfó ná y??n nò gie pege ne ?g??n, ep??a ne ?gyá ngie é gw? p?? menò p??a l??n.","For after that in the wisdom of God the world by wisdom knew not God, it pleased God by the foolishness of preaching to save them that believe. # https://www.bible.com/fr/bible/1/1CO.1.KJV #21",,,,
Pà Yuda ée nà w??b nkw?’?? ?n? ?z??te ngie mé ny?? mmó gie á la’te met?? Ssé. P??a Gelekia ne ?z??te mmó gie á la’te kwà’ zsé nò.,"For the Jews require a sign, and the Greeks seek after wisdom: # https://www.bible.com/fr/bible/1/1CO.1.KJV #22",,,,
"Tá á ké ?g?a ná peg, peg ne sá’a p?? nò Kristo g?ie mé la kime yé nà tÿ? nk?. Y?? nò gw?? mbwo pà Yuda ?gw?? nò gie ngw?? mé z??n le kím tà shwó?ó nyì? w??, ?gw?? mbwo p??a pie é té pà Yuda w?? ?gw?? p?? menò p??a.","but we preach Christ crucified, unto the Jews a stumblingblock, and unto the Greeks foolishness; # https://www.bible.com/fr/bible/1/1CO.1.KJV #23",,,,
"Tá á g?a mbwo p??a pie e Ssé ts?’?? w??b, kà é gw?? p?? pà Yuda w??, kà p??a pie é té pà Yuda w?? w??, Kristo la’te pá’ met?? Ssé ée pú’u, mb?? pá’ zsè nò Ssé áa pú’u.","but unto them which are called, both Jews and Greeks, Christ the power of God, and the wisdom of God. # https://www.bible.com/fr/bible/1/1CO.1.KJV #24",,,,
"Á nue ammó gie e Ssé gÿo nyì? meso? gyá ngie áa nò p??a, azsé nò áa m? ?c?a gie áa nà mmó gie nyì? meso? gÿo. Ammó gie Ssé pi? ?gÿo nyì? meso? gyá ngie á pÿ? pÿ??, y?? g?iin t?? ?c?a we shúm sie nyì? meso? gÿo.",Because the foolishness of God is wiser than men, and the weakness of God is stronger than men. # https://www.bible.com/fr/bible/1/1CO.1.KJV #25,,,
"Mef?? mef??, pi pie Ssé la ts??’? g?í, pi gyá ntí gie pi l?g ?gw??, ep??a pie mé ee ts??? njÿó ?gyá ngie ée pàzsé nò, é té tsets??? pi tà ?gy???n w??. Pàg?iin met?? é té tsets??? pi tà ?gy???n w??. Pàfó nà metsì?e ndá memáa p??a pi? ?ké tè tsets??? pi tà ?gy???n w??.","For ye see your calling, brethren, how that not many wise men after the flesh, not many mighty, not many noble,are called: # https://www.bible.com/fr/bible/1/1CO.1.KJV #26",,,,
"Tá’, e Ssé la ts??’ shúm sie njÿo gy? é gw?? p?? shúm p??a ?d?g ?tém sh?? ná pàzsé nò, ?ts??’? mmó gie áa ts??? njÿó ?gw?? p?? pepÿ?? ?d?g ?tém sh?? ná sie é g?iin t??.",but God hath chosen the foolish things of the world to confound the wise, and God hath chosen the weak things of the world to confound the things which are mighty, # https://www.bible.com/fr/bible/1/1CO.1.KJV #27,,
"E Ssé la ts??’? mmó gie áa ts??? njÿó á té ts?? mmó ku’, ?k??g k??g, mé gwág gw?g, ?d?g ?z?é nz?ì? gie mé kw?? ngie áa mmó t?’.","and base things of the world, and things which are despised, hath God chosen,yea, and things which are not, to bring to nought things that are: # https://www.bible.com/fr/bible/1/1CO.1.KJV #28",,,,
"À c?a pú’u, ats?? nyì? meso? le ?á’te mvfò Ssé w??.",that no flesh should glory in his presence. # https://www.bible.com/fr/bible/1/1CO.1.KJV #29,,,,
"Yé Ssé z? la temte g?ia Y?sô Kristo, ?d?g? yé ?gÿo yégè zsé nò. E Ssé fó ná ye ?gyá wégè pá’ pà tè f?a, ?d?g? wégè ?gÿo p??a pé, ?zá’ nkÿo pù’ nò tepò? ná pege.","But of him are ye in Christ Jesus, who of God is made unto us wisdom, and righteousness, and sanctification, and redemption: # https://www.bible.com/fr/bible/1/1CO.1.KJV #30",,,,
"Á l?g? pú’u, ?c??me nà nò gie ?wà’ne Ssé g??n ngie: Nyì? l??n ne ?kwo?o le?á’te, á l?g p?? mmó gie C??ap??a la gÿo tá ?d?g ??á’te.","that, according as it is written, He that glorieth, let him glory in the Lord. # https://www.bible.com/fr/bible/1/1CO.1.KJV #31",,,,
